0,48
0,307
0,648
0,778
0,830
0,894
0,981
1,113
1,232
1,305
1,433
1,444
1,453
1,454
1,519
1,538
1,608
1,619
1,742
1,764
1,899
1,914
1,963
2,361
2,644
2,792
2,996
3,33
3,90
3,235
3,339
3,443
3,691
4,12
4,92
4,92
4,270
4,410
4,431
4,465
4,472
4,716
4,927
5,139
5,276
5,430
5,701
5,734
5,805
5,925
5,977
6,146
6,160
6,167
6,290
6,578
6,641
7,89
7,156
7,216
7,259
7,439
7,473
7,550
7,568
7,814
7,836
7,852
8,235
8,259
8,281
8,394
8,417
8,482
8,708
9,107
9,140
9,236
9,440
9,695
10,144
10,233
10,427
10,459
10,658
10,699
10,876
11,154
11,295
11,364
11,455
11,477
11,483
11,600
11,600
11,629
11,712
12,112
12,143
12,229
12,453
12,522
12,819
13,350
13,358
13,363
13,454
13,583
13,586
13,629
13,641
13,686
13,730
13,778
13,781
14,20
14,164
14,479
14,495
14,602
14,675
14,732
14,778
14,877
14,917
15,24
15,27
15,239
15,384
15,428
15,497
15,768
15,837
15,873
15,886
15,964
16,59
16,124
16,335
16,346
16,598
16,805
16,999
17,46
17,108
17,113
17,257
17,328
17,762
17,773
17,827
17,853
18,149
18,160
18,249
18,260
18,272
18,478
18,482
18,939
19,9
19,440
19,607
19,741
19,884
19,971
20,217
20,236
20,269
20,285
20,385
20,429
20,518
20,624
20,812
20,960
21,125
21,241
21,597
21,753
21,800
21,864
22,176
22,218
22,229
22,435
22,737
22,767
22,779
22,796
23,12
23,194
23,233
23,244
23,276
23,436
23,529
23,708
23,791
23,914
23,952
24,14
24,150
24,193
24,275
24,362
24,485
24,494
24,509
24,831
24,927
25,287
25,462
25,472
25,533
25,668
25,833
26,77
26,122
26,202
26,258
26,283
26,366
26,697
27,66
27,95
27,217
27,324
27,339
27,595
27,627
27,655
27,853
28,1
28,24
28,456
28,566
28,622
28,639
28,808
28,868
28,915
29,8
29,179
29,181
29,268
29,385
29,504
29,610
29,643
29,719
30,18
30,51
30,169
30,184
30,260
30,436
30,476
30,528
30,633
30,733
30,772
30,825
30,850
30,881
31,130
31,148
31,289
31,380
31,393
31,482
31,693
31,747
31,896
32,76
32,129
32,157
32,388
32,684
32,736
32,739
32,850
32,960
32,986
33,158
33,435
33,659
33,905
34,70
34,118
34,137
34,196
34,291
34,335
34,342
35,110
35,158
35,179
35,902
36,73
36,200
36,276
36,530
36,612
36,616
36,654
36,799
36,848
36,867
36,894
36,925
37,299
37,432
37,585
37,660
37,664
37,749
37,936
38,84
38,196
38,291
38,331
38,445
38,564
38,676
38,861
38,955
39,10
39,239
39,333
39,365
39,422
39,610
39,652
39,667
39,737
40,61
40,101
40,141
40,156
40,205
40,208
40,249
40,420
40,500
40,516
40,795
41,17
41,51
41,428
41,440
41,500
41,657
41,716
41,733
41,775
42,376
42,722
43,71
43,125
43,348
43,354
43,380
43,536
43,561
43,744
43,992
44,58
44,105
44,122
44,274
44,448
44,705
44,725
44,782
45,166
45,226
45,296
45,307
45,753
45,768
45,836
45,904
46,166
46,252
46,363
46,434
46,487
46,816
46,859
46,896
47,8
47,226
47,257
47,287
47,355
47,435
47,439
47,793
47,902
48,130
48,140
48,309
48,572
48,662
48,680
48,892
48,967
48,989
49,257
49,394
49,565
49,701
49,777
49,874
50,35
50,70
50,190
50,239
50,448
50,605
50,740
51,44
51,116
51,150
51,195
51,272
51,383
51,449
51,479
51,672
51,727
51,750
52,51
52,144
52,185
52,191
52,724
52,973
53,183
53,206
53,303
53,446
53,478
53,524
53,660
53,767
53,795
54,77
54,78
54,88
54,421
54,464
54,499
54,614
54,700
54,749
54,770
54,911
54,912
55,114
55,138
55,149
55,172
55,425
55,904
56,35
56,159
56,376
56,409
56,669
56,811
56,997
57,28
57,33
57,95
57,122
57,130
57,337
57,526
57,714
57,725
57,833
57,895
57,964
57,964
58,120
58,244
58,311
58,490
58,501
58,505
58,594
58,642
58,810
58,931
59,45
59,237
59,332
59,346
59,708
60,166
60,181
60,250
60,297
60,595
60,738
60,894
61,235
61,398
61,555
61,625
61,744
61,929
62,18
62,58
62,119
62,179
63,179
63,327
63,513
63,701
63,802
63,953
63,967
64,264
64,394
64,456
64,563
64,736
64,794
65,173
65,409
65,455
65,528
65,578
65,632
65,816
65,991
66,196
66,313
66,367
66,790
66,798
66,860
66,918
66,930
66,953
67,391
67,571
67,657
68,19
68,86
68,188
68,276
68,718
68,721
68,736
68,755
68,773
68,815
69,333
69,346
69,382
69,402
69,672
69,814
69,822
69,823
69,855
69,993
70,334
70,396
70,404
70,494
70,508
70,596
70,624
70,652
71,139
71,310
71,345
71,352
71,385
71,388
71,486
71,520
71,587
71,844
71,963
72,5
72,298
72,616
72,789
72,914
72,963
72,992
73,67
73,81
73,153
73,157
73,187
73,241
73,300
73,358
73,446
73,553
73,719
73,815
73,890
74,39
74,171
74,347
74,415
74,463
74,487
74,521
74,691
74,877
74,913
74,932
74,988
75,1
75,70
75,212
75,218
75,227
75,238
75,255
75,310
75,455
75,472
75,524
75,651
75,819
75,881
75,904
75,915
75,977
76,547
76,669
76,789
76,930
76,936
77,436
77,443
77,479
77,604
77,676
77,767
78,31
78,86
78,95
78,279
78,299
78,391
78,430
78,579
78,617
78,654
78,768
78,859
78,923
79,66
79,279
79,318
79,347
79,357
79,387
79,399
79,496
79,505
79,603
79,643
79,655
79,754
80,49
80,115
